popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
49,138923,FALSE,0.956,0.529,10,-8.766,1,0.0567,0.104,2.95E-05,0.11,0.802,129.925,4
39,308013,FALSE,0.663,0.875,7,-3.532,1,0.0428,0.107,0.000261,0.0667,0.742,119.986,4
51,137368,FALSE,0.667,0.446,5,-10.801,0,0.38,0.892,0,0.101,0.311,76.53,4
0,118840,FALSE,0.602,0.553,11,-9.336,1,0.0328,0.108,0,0.0512,0.971,130.594,4
0,164364,FALSE,0.545,0.217,11,-14.524,0,0.0788,0.995,0.338,0.123,0.702,80.063,4
0,210160,TRUE,0.795,0.694,1,-5.053,1,0.0595,0.0183,0.000186,0.115,0.327,96.046,4
23,168946,FALSE,0.149,0.0705,8,-18.812,1,0.0446,0.979,0.00395,0.111,0.0797,165.146,4
20,360662,FALSE,0.48,0.0693,11,-19.28,0,0.0319,0.89,0.933,0.116,0.104,83.922,3
17,276410,FALSE,0.53,0.99,7,-0.587,1,0.0658,0.000133,0.82,0.361,0.314,173.95,4
34,184157,FALSE,0.634,0.95,10,-7.199,0,0.0662,0.0883,0.0435,0.187,0.608,174.976,4
40,312438,FALSE,0.5,0.848,5,-7.455,1,0.0519,0.165,2.23E-05,0.11,0.67,149.973,4
0,155253,FALSE,0.621,0.785,6,-4.499,1,0.11,0.0165,5.92E-06,0.0512,0.779,123.96,4
22,221560,FALSE,0.352,0.477,9,-7.159,1,0.0284,0.134,0.00267,0.128,0.416,149.021,4
22,180440,FALSE,0.529,0.893,11,-7.173,0,0.0412,0.0361,0.00289,0.158,0.896,76.154,4
38,30680,FALSE,0.574,0.25,9,-11.952,1,0.0645,0.0627,0.84,0.141,0.51,58.926,4
74,138013,FALSE,0.763,0.608,5,-8.1,0,0.035,0.262,2.50E-05,0.12,0.393,121.02,4
42,298933,FALSE,0.544,0.411,9,-10.106,1,0.0316,0.298,0,0.106,0.422,139.948,4
0,217106,FALSE,0.549,0.619,1,-10.576,0,0.035,0.389,0.283,0.105,0.41,110.804,4
0,60107,FALSE,0.163,0.994,1,-4.357,1,0.255,0.00119,0.844,0.613,0.0298,130.483,3
67,198196,FALSE,0.823,0.842,6,-3.484,1,0.0502,0.114,0,0.0593,0.961,122.024,4
61,206429,FALSE,0.277,0.672,0,-12.582,1,0.0901,0.197,0.936,0.423,0.505,150.587,4
64,155080,FALSE,0.549,0.433,7,-8.526,1,0.0327,0.906,0.0108,0.0774,0.486,116.068,3
0,214289,FALSE,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.011,4
54,182168,FALSE,0.434,0.868,2,-6.067,1,0.131,0.000653,0.000137,0.441,0.258,150.106,4
42,210860,FALSE,0.606,0.782,1,-5.126,1,0.0558,0.0226,0,0.24,0.356,129.963,4
0,253626,FALSE,0.44,0.838,9,-6.196,1,0.0423,0.0956,0,0.473,0.619,138.908,4
42,198000,FALSE,0.596,0.259,1,-12.273,0,0.11,0.626,2.42E-05,0.053,0.438,94.736,4
66,369333,FALSE,0.687,0.43,9,-10.31,1,0.0407,0.6,2.49E-06,0.132,0.241,115.01,4
85,148629,FALSE,0.607,0.767,5,-6.069,0,0.0474,0.118,0,0.122,0.662,123.998,3
54,263880,FALSE,0.763,0.721,1,-6.767,0,0.0986,0.0117,7.69E-06,0.0752,0.657,118.049,4
34,184157,FALSE,0.634,0.95,10,-7.199,0,0.0662,0.0883,0.0435,0.187,0.608,174.976,4
0,230386,FALSE,0.379,0.899,2,-5.512,1,0.05,2.34E-05,0.736,0.126,0.792,128.409,4
15,297455,FALSE,0.473,0.923,6,-2.72,1,0.0715,0.0402,0.0335,0.0694,0.0923,172.024,4
29,156189,TRUE,0.913,0.433,6,-9.222,0,0.231,0.347,0.00713,0.131,0.217,99.961,4
